Price,Adj Close,Close,High,Low,Open,Volume,RSI,MACD
Ticker,KOZAL.IS,KOZAL.IS,KOZAL.IS,KOZAL.IS,KOZAL.IS,KOZAL.IS,,
Date,,,,,,,,
