Price,Close,High,Low,Open,Volume,RSI,MACD
Ticker,VAKBN.IS,VAKBN.IS,VAKBN.IS,VAKBN.IS,VAKBN.IS,,
Date,,,,,,,
2021-08-03,3.509999990463257,3.5399999618530273,3.4700000286102295,3.4800000190734863,52324771.0,50.0,-0.011079627628094446
2021-08-04,3.5,3.5399999618530273,3.5,3.509999990463257,41342577.0,48.38709677419355,-0.007999858443285657
2021-08-05,3.559999942779541,3.559999942779541,3.4800000190734863,3.490000009536743,42693907.0,55.55555555555556,-0.0007094471685773485
2021-08-06,3.5399999618530273,3.5799999237060547,3.5,3.559999942779541,36683622.0,58.82352941176471,0.003415058310843211
2021-08-09,3.509999990463257,3.559999942779541,3.5,3.5299999713897705,28581182.0,54.05405405405405,0.004214430318489004
2021-08-10,3.5299999713897705,3.549999952316284,3.509999990463257,3.509999990463257,29226249.0,52.77777777777777,0.00638813130644067
2021-08-11,3.4700000286102295,3.5299999713897705,3.4600000381469727,3.5199999809265137,30635516.0,47.5,0.0032320539521215608
2021-08-12,3.5199999809265137,3.5399999618530273,3.4800000190734863,3.490000009536743,35433631.0,55.81395348837209,0.004711111435339976
2021-08-13,3.490000009536743,3.5299999713897705,3.490000009536743,3.5199999809265137,22676195.0,57.14285714285714,0.003423069165340298
2021-08-16,3.5399999618530273,3.569999933242798,3.490000009536743,3.5,73935439.0,63.04347826086956,0.0063635100882595275
2021-08-17,3.559999942779541,3.5799999237060547,3.509999990463257,3.5399999618530273,74504430.0,67.3913043478261,0.010190195784533174
2021-08-18,3.5799999237060547,3.630000114440918,3.559999942779541,3.569999933242798,94840217.0,65.11627906976744,0.01466762384515885
2021-08-19,3.549999952316284,3.609999895095825,3.549999952316284,3.559999942779541,58417369.0,60.0,0.01561526778355704
2021-08-20,3.549999952316284,3.569999933242798,3.5199999809265137,3.5399999618530273,31674550.0,58.139534883720934,0.01617977209103616
2021-08-23,3.5899999141693115,3.609999895095825,3.569999933242798,3.569999933242798,48574584.0,59.09090909090909,0.01962854282629989
2021-08-24,3.5899999141693115,3.619999885559082,3.5799999237060547,3.609999895095825,27868318.0,60.46511627906977,0.02210688408240369
2021-08-25,3.5799999237060547,3.5999999046325684,3.549999952316284,3.5899999141693115,39261949.0,52.631578947368425,0.022998954099860747
2021-08-26,3.549999952316284,3.5899999141693115,3.5399999618530273,3.5799999237060547,25413112.0,51.28205128205128,0.021042612901819968
2021-08-27,3.559999942779541,3.569999933242798,3.5299999713897705,3.559999942779541,29847461.0,56.75675675675676,0.020067785129463278
2021-08-31,3.5899999141693115,3.5999999046325684,3.559999942779541,3.569999933242798,42413085.0,57.89473684210526,0.021468498579599427
2021-09-01,3.5899999141693115,3.630000114440918,3.5799999237060547,3.5999999046325684,43438453.0,68.75,0.022321268392901494
2021-09-02,3.609999895095825,3.640000104904175,3.5899999141693115,3.5899999141693115,38653900.0,65.51724137931035,0.02433045953543367
2021-09-03,3.5899999141693115,3.619999885559082,3.5799999237060547,3.609999895095825,40166665.0,67.85714285714286,0.024031901871935712
2021-09-06,3.5999999046325684,3.619999885559082,3.5899999141693115,3.5999999046325684,23074202.0,62.50000000000001,0.024321841381968134
2021-09-07,3.559999942779541,3.619999885559082,3.5399999618530273,3.5999999046325684,55896017.0,50.0,0.021080949837370966
2021-09-08,3.5,3.559999942779541,3.490000009536743,3.549999952316284,52725314.0,36.666666666666664,0.013515230828992308
2021-09-09,3.5199999809265137,3.5299999713897705,3.4800000190734863,3.490000009536743,45840217.0,44.827586206896555,0.009029093550708911
2021-09-10,3.4800000190734863,3.5399999618530273,3.4700000286102295,3.5299999713897705,32891197.0,39.39393939393939,0.002220537831006286
2021-09-13,3.490000009536743,3.5,3.4600000381469727,3.490000009536743,31680963.0,33.33333333333333,-0.0023413859332990228
2021-09-14,3.4700000286102295,3.5,3.4600000381469727,3.490000009536743,31456083.0,31.25,-0.007484300341826788
2021-09-15,3.4600000381469727,3.490000009536743,3.4600000381469727,3.4700000286102295,36812286.0,31.25,-0.01222607810236509
2021-09-16,3.450000047683716,3.4800000190734863,3.430000066757202,3.4600000381469727,32089101.0,33.33333333333333,-0.016599537659942598
2021-09-17,3.440000057220459,3.4700000286102295,3.440000057220459,3.4600000381469727,29816167.0,30.0,-0.02063458882992908
2021-09-20,3.390000104904175,3.430000066757202,3.369999885559082,3.4200000762939453,28175425.0,18.75,-0.027549401882016156
2021-09-21,3.380000114440918,3.4100000858306885,3.369999885559082,3.4100000858306885,25303027.0,18.181818181818173,-0.03345075719474311
2021-09-22,3.4000000953674316,3.4000000953674316,3.359999895095825,3.390000104904175,24946999.0,18.181818181818173,-0.03609768088784415
2021-09-23,3.3399999141693115,3.4200000762939453,3.319999933242798,3.390000104904175,53831563.0,16.216205766896152,-0.042546451160205834
2021-09-24,3.2699999809265137,3.3299999237060547,3.25,3.319999933242798,49113180.0,11.627900529511251,-0.052698086918202325
2021-09-27,3.2799999713897705,3.2899999618530273,3.25,3.2799999713897705,28651170.0,14.999991059300086,-0.05925337966123667
2021-09-28,3.240000009536743,3.2899999618530273,3.2300000190734863,3.2799999713897705,42120854.0,15.789463777618138,-0.06690492073694676
2021-09-29,3.240000009536743,3.259999990463257,3.2300000190734863,3.25,46782864.0,11.111103752510857,-0.07213726863686798
2021-09-30,3.259999990463257,3.2899999618530273,3.2300000190734863,3.25,50737045.0,17.647046448859555,-0.07381916929780408
2021-10-01,3.25,3.2699999809265137,3.240000009536743,3.240000009536743,24805558.0,14.705872040716287,-0.07509337367825264
2021-10-04,3.25,3.2699999809265137,3.240000009536743,3.25,17887788.0,15.624988358465387,-0.07523591701133059
2021-10-05,3.240000009536743,3.259999990463257,3.240000009536743,3.25,21487938.0,15.624988358465387,-0.07528792693019781
2021-10-06,3.2200000286102295,3.25,3.200000047683716,3.240000009536743,28634556.0,15.151504204837721,-0.07606613344276214
2021-10-07,3.25,3.309999942779541,3.240000009536743,3.2699999809265137,55542257.0,22.857127286945683,-0.0734158287654707
2021-10-08,3.25,3.2799999713897705,3.2300000190734863,3.25,32192079.0,26.666645473900715,-0.07050273161072118
2021-10-11,3.2799999713897705,3.309999942779541,3.25,3.25,41278441.0,34.374974388623855,-0.06502378049131163
2021-10-12,3.3399999141693115,3.3499999046325684,3.259999990463257,3.259999990463257,50397663.0,41.666639071915675,-0.05520382300518634
2021-10-13,3.309999942779541,3.4000000953674316,3.2799999713897705,3.3499999046325684,53236602.0,45.45454545454546,-0.04927418083483959
2021-10-14,3.450000047683716,3.490000009536743,3.2899999618530273,3.2899999618530273,122666218.0,72.50001639128318,-0.03289882112685838
2021-10-15,3.3399999141693115,3.4600000381469727,3.309999942779541,3.4600000381469727,76406496.0,55.9999942779541,-0.02846914743512352
2021-10-18,3.299999952316284,3.3399999141693115,3.2899999618530273,3.3299999237060547,23097412.0,55.9999942779541,-0.027865050788163703
2021-10-19,3.369999885559082,3.390000104904175,3.309999942779541,3.319999933242798,34927047.0,61.40349923225026,-0.021490164999374617
2021-10-20,3.369999885559082,3.4000000953674316,3.359999895095825,3.359999895095825,32145935.0,59.99999133023274,-0.01625069419619951
2021-10-21,3.380000114440918,3.4200000762939453,3.309999942779541,3.369999885559082,53742950.0,61.81818812346437,-0.011162763551329391
2021-10-22,3.430000066757202,3.450000047683716,3.369999885559082,3.369999885559082,35193480.0,65.00000198682102,-0.0030606819376526317
2021-10-25,3.369999885559082,3.4100000858306885,3.369999885559082,3.4000000953674316,71169263.0,59.99998532809498,-0.0014643568722267908
2021-10-26,3.380000114440918,3.4100000858306885,3.380000114440918,3.380000114440918,27403074.0,62.49999534339136,0.0006007520427937507
