Price,Close,High,Low,Open,Volume
Ticker,MGROS.IS,MGROS.IS,MGROS.IS,MGROS.IS,MGROS.IS
Date,,,,,
2021-07-02,30.494022369384766,30.794086259754003,30.175204038736982,30.381499304757234,1459514
2021-07-05,30.719070434570312,30.794088200412144,30.456515408211818,30.475269849672273,813441
2021-07-06,31.356704711914062,31.63801773502912,30.662808316740914,30.719068059728983,2149948
2021-07-07,32.2381477355957,32.2381477355957,31.24418380859099,31.337952438081803,2239775
2021-07-08,31.375463485717773,32.48195055987192,31.319203734958723,32.2381499601463,1949279
2021-07-09,31.713035583496094,31.99434506208189,31.187921933636936,31.30044858670653,1190418
2021-07-12,30.794090270996094,31.88182290953371,30.794090270996094,31.73179094480591,968651
2021-07-13,31.187923431396484,31.5442506958075,30.812845300950812,30.831599744029738,1606697
2021-07-14,31.206674575805664,31.487987615209338,30.90661067234937,31.18792013470916,1357793
2021-07-16,31.881816864013672,31.9755854827963,31.187916923074226,31.187916923074226,1656669
2021-07-19,31.619264602661133,31.788050992693005,31.375460449484507,31.600510161874944,414970
2021-07-26,31.506738662719727,32.25690200277241,31.337952268912264,31.67552505652719,1556397
2021-07-27,31.375463485717773,31.93808603261747,31.225431521953354,31.506741006881118,1200192
2021-07-28,31.90057945251465,31.90057945251465,31.52549772747854,31.52549772747854,1344343
2021-07-29,32.31316375732422,32.444441276878,31.938085641033982,31.975590948732115,1726102
2021-07-30,31.975587844848633,32.313160620672406,31.863064778588637,32.16312867331115,1235407
2021-08-02,31.881816864013672,32.14437185823986,31.638016308952714,32.01309436112676,1337389
2021-08-03,32.2381477355957,32.35067080639347,31.919329387465428,31.919329387465428,1415243
2021-08-04,32.275657653808594,32.51946184859803,32.163134566929706,32.294412097795814,1386042
2021-08-05,32.35067367553711,32.50070564225493,31.938086661324157,32.2381505947598,1316393
2021-08-06,32.275657653808594,32.83828024229191,32.25690678686581,32.3694298737447,1666414
2021-08-09,31.938085556030273,32.50070451749027,31.938085556030273,32.29440922900102,1018591
2021-08-10,32.98830795288086,33.400894936132964,31.919329823102785,31.919329823102785,3328321
2021-08-11,33.04457473754883,33.25086646225296,32.57572438051635,32.98831140696896,2009292
2021-08-12,34.469871520996094,34.601152606052544,33.250861490393866,33.250861490393866,3677458
2021-08-13,34.901214599609375,34.93871990196429,33.944759637208456,34.48862408031273,1992231
2021-08-16,34.019779205322266,34.788693469516524,33.907256126354476,34.619907062542744,2586638
2021-08-17,34.376102447509766,34.58239771572979,33.94476104763497,33.94476104763497,2232424
2021-08-18,34.019779205322266,34.69492483321739,33.9447650116918,34.41361534727582,1400829
2021-08-19,34.019779205322266,34.28233782563937,33.36339159713999,33.738469719380696,1436158
2021-08-20,33.98227310180664,34.37610565749989,33.682205603174125,33.794732256552855,2084297
2021-08-23,34.0760383605957,34.35734781208993,33.98226973577887,33.98226973577887,911997
2021-08-24,34.132301330566406,34.37610189880824,34.038529129670536,34.113546890387234,1354250
2021-08-25,33.56968307495117,34.11355117736278,33.3821422266353,34.11355117736278,1861403
2021-08-26,32.93204116821289,33.88849612516828,32.83827254729404,33.38213698730185,1669346
2021-08-27,32.72575378417969,32.98830881886488,32.500704056560906,32.93204549269917,1182166
2021-08-31,32.669490814208984,32.988309178535964,32.51945885317535,32.81952277524262,1237784
2021-09-01,33.08207702636719,33.400895383115255,32.78201311143301,32.8007675532469,1403814
2021-09-02,32.96955108642578,33.32587829582546,32.96955108642578,33.06331971029973,846726
2021-09-03,32.8945426940918,33.1383433053134,32.55696986544316,32.98831133447449,1154174
2021-09-06,32.857032775878906,32.98831029911217,32.744506118498194,32.83827833298212,650149
2021-09-07,32.35067367553711,32.93204709943814,32.219396151789546,32.87578734757161,967537
2021-09-08,31.69428062438965,32.313162898002176,31.694280624389652,32.256903149429064,1091297
2021-09-09,31.881816864013672,31.93808018150936,31.48798437267439,31.48798437267439,1412185
2021-09-10,31.4129695892334,31.975588509267798,31.375460707352744,31.938083204431,931012
2021-09-13,31.056642532348633,31.54424726828589,31.056642532348633,31.450478640124214,1038128
2021-09-14,31.206674575805664,31.412969850823323,30.92536511344587,31.11290594736703,1608246
2021-09-15,31.094152450561523,31.45047968812855,30.92536605261104,31.112906892227578,1035044
2021-09-16,30.606548309326172,31.487989200005515,30.606548309326172,30.96287555400599,1701174
2021-09-17,30.475269317626953,31.131660449107695,30.475269317626953,30.94411961482121,1178250
2021-09-20,30.21271514892578,30.30648378019469,29.987665426018815,30.156451823938042,1162017
2021-09-21,30.006420135498047,30.419007124625296,30.006420135498047,30.381501818009383,862233
2021-09-22,30.869102478027344,30.88785691954176,30.10018826115602,30.13769714418486,1425709
2021-09-23,31.394214630126953,31.469232392650085,30.962873226750347,31.03788741222968,1726844
2021-09-24,30.156452178955078,30.719071127279943,29.743863400131094,30.719071127279943,3114772
2021-09-27,29.818878173828125,30.494023746163005,29.668846221869693,30.175205401120856,1430523
2021-09-28,30.100187301635742,30.212713947135178,29.706354773519273,29.912648258035794,1238316
2021-09-29,29.912647247314453,30.362744871494176,29.912647247314453,30.193958485992013,1079532
2021-09-30,29.556324005126953,29.987665432325024,29.312521629028133,29.950158337513972,2037191
2021-10-01,29.725109100341797,29.78137063435364,29.500059387250584,29.53756826893976,894178
2021-10-04,29.725109100341797,30.10018718610203,29.53756826893976,29.687600218652623,1406261
2021-10-05,29.96891212463379,29.96891212463379,29.350029834396967,29.743864181686043,1045176
2021-10-06,29.425045013427734,30.04392907531952,29.36878347635467,30.006420191589466,1604902
2021-10-07,29.800128936767578,29.912652019372263,29.462556111909215,29.462556111909215,762493
