Price,Close,High,Low,Open,Volume
Ticker,QUAGR.IS,QUAGR.IS,QUAGR.IS,QUAGR.IS,QUAGR.IS
Date,,,,,
2021-07-02,1.226362943649292,1.237272024154663,1.2081810235977173,1.2272720336914062,23683550
2021-07-05,1.2172720432281494,1.2363630533218384,1.2163629531860352,1.228181004524231,22566874
2021-07-06,1.2000000476837158,1.2254539728164673,1.1981810331344604,1.221817970275879,33585662
2021-07-07,1.2036360502243042,1.2236360311508179,1.2018179893493652,1.204545021057129,23112122
2021-07-08,1.204545021057129,1.213636040687561,1.1918179988861084,1.20272696018219,21334060
2021-07-09,1.1909090280532837,1.2109090089797974,1.1890900135040283,1.209089994430542,13747228
2021-07-12,1.1545449495315552,1.1936359405517578,1.1545449495315552,1.1909090280532837,20876570
2021-07-13,1.0927269458770752,1.1545449495315552,1.0918179750442505,1.147271990776062,27209710
2021-07-14,1.1290899515151978,1.1527270078659058,1.0936360359191895,1.0936360359191895,31444072
2021-07-16,1.1318180561065674,1.1481809616088867,1.1263630390167236,1.1318180561065674,17041794
2021-07-19,1.1363630294799805,1.1436359882354736,1.1227270364761353,1.1354540586471558,8950348
2021-07-26,1.1418180465698242,1.1727269887924194,1.1336359977722168,1.1418180465698242,36482644
2021-07-27,1.1445449590682983,1.161818027496338,1.14090895652771,1.1454540491104126,22095128
2021-07-28,1.149090051651001,1.161818027496338,1.1445449590682983,1.1481809616088867,26361566
2021-07-29,1.211817979812622,1.2245450019836426,1.151818037033081,1.1527270078659058,98345236
2021-07-30,1.204545021057129,1.209089994430542,1.183635950088501,1.1936359405517578,42275882
2021-08-02,1.213636040687561,1.2409089803695679,1.209089994430542,1.209089994430542,56426898
2021-08-03,1.2763630151748657,1.2809089422225952,1.2227269411087036,1.2227269411087036,83341126
2021-08-04,1.2481809854507446,1.2890900373458862,1.2445449829101562,1.2781809568405151,67784794
2021-08-05,1.2363630533218384,1.2699999809265137,1.2345449924468994,1.2481809854507446,42860378
2021-08-06,1.221817970275879,1.2481809854507446,1.2181810140609741,1.2409089803695679,46177516
2021-08-09,1.230908989906311,1.2481809854507446,1.226362943649292,1.2272720336914062,35755808
2021-08-10,1.2272720336914062,1.254544973373413,1.209089994430542,1.2390899658203125,42907282
2021-08-11,1.1772719621658325,1.2409089803695679,1.1772719621658325,1.2390899658203125,24388364
2021-08-12,1.159999966621399,1.194545030593872,1.149999976158142,1.18545401096344,22380391
2021-08-13,1.1736359596252441,1.1772719621658325,1.1536359786987305,1.1654540300369263,18311964
2021-08-16,1.2227269411087036,1.2363630533218384,1.1781810522079468,1.1809090375900269,35006862
2021-08-17,1.1881810426712036,1.226362943649292,1.1654540300369263,1.226362943649292,44893981
2021-08-18,1.2127269506454468,1.2590899467468262,1.1790900230407715,1.1890900135040283,84635166
2021-08-19,1.1672719717025757,1.2354539632797241,1.159999966621399,1.2127269506454468,65513184
2021-08-20,1.1463630199432373,1.175454020500183,1.12363600730896,1.1718180179595947,45108976
2021-08-23,1.14090895652771,1.1672719717025757,1.14090895652771,1.1554540395736694,24040368
2021-08-24,1.1163630485534668,1.147271990776062,1.1163630485534668,1.1436359882354736,26141489
2021-08-25,1.1072720289230347,1.166363000869751,1.0945450067520142,1.1172720193862915,76329847
2021-08-26,1.0990899801254272,1.1372720003128052,1.0981810092926025,1.1081809997558594,28678111
2021-08-27,1.1454540491104126,1.1527270078659058,1.0918179750442505,1.104544997215271,58551537
2021-08-31,1.1909090280532837,1.204545021057129,1.1654540300369263,1.1772719621658325,115949713
2021-09-01,1.1727269887924194,1.1990900039672852,1.17090904712677,1.1954540014266968,55213422
2021-09-02,1.1463630199432373,1.1772719621658325,1.1399999856948853,1.1772719621658325,79671922
2021-09-03,1.1318180561065674,1.149090051651001,1.1318180561065674,1.147271990776062,27208489
2021-09-06,1.1363630294799805,1.1609090566635132,1.1227270364761353,1.132727026939392,40853043
2021-09-07,1.1318180561065674,1.1545449495315552,1.1309089660644531,1.1363630294799805,27018002
2021-09-08,1.12363600730896,1.149090051651001,1.1227270364761353,1.132727026939392,100438041
2021-09-09,1.132727026939392,1.1481809616088867,1.1299999952316284,1.1381809711456299,29164245
2021-09-10,1.1209089756011963,1.14090895652771,1.1145449876785278,1.1363630294799805,18020112
2021-09-13,1.121817946434021,1.147271990776062,1.1209089756011963,1.12363600730896,51455294
2021-09-14,1.1136360168457031,1.1299999952316284,1.1118179559707642,1.1263630390167236,29790123
2021-09-15,1.109089970588684,1.1390899419784546,1.1054539680480957,1.1163630485534668,45607397
2021-09-16,1.0963629484176636,1.1209089756011963,1.0954539775848389,1.1145449876785278,35182059
2021-09-17,1.0936360359191895,1.1081809997558594,1.0927269458770752,1.1054539680480957,38602575
2021-09-20,1.0927269458770752,1.0981810092926025,1.0927269458770752,1.0945450067520142,39873240
2021-09-21,1.1172720193862915,1.1227270364761353,1.100000023841858,1.1027270555496216,60681071
2021-09-22,1.1109089851379395,1.1200000047683716,1.1036360263824463,1.119089961051941,26329721
2021-09-23,1.142727017402649,1.1936359405517578,1.1054539680480957,1.1109089851379395,157346761
2021-09-24,1.1627269983291626,1.1763629913330078,1.14090895652771,1.14090895652771,68998479
2021-09-27,1.1863629817962646,1.1963629722595215,1.1827269792556763,1.1863629817962646,54994401
2021-09-28,1.1881810426712036,1.2036360502243042,1.1818180084228516,1.1845450401306152,93905867
2021-09-29,1.1936359405517578,1.2036360502243042,1.192726969718933,1.194545030593872,57251777
2021-09-30,1.1936359405517578,1.1990900039672852,1.1909090280532837,1.194545030593872,69033283
2021-10-01,1.1590900421142578,1.1936359405517578,1.1590900421142578,1.1936359405517578,63785887
2021-10-04,1.1154539585113525,1.1554540395736694,1.1072720289230347,1.1554540395736694,59858106
2021-10-05,1.1127270460128784,1.128180980682373,1.1036360263824463,1.1154539585113525,38064587
2021-10-06,1.087272047996521,1.1254539489746094,1.0827269554138184,1.1109089851379395,48931432
2021-10-07,1.0818179845809937,1.0981810092926025,1.0727269649505615,1.0927269458770752,34403501
2021-10-08,1.0309089422225952,1.0945450067520142,1.0290900468826294,1.0818179845809937,86335018
2021-10-11,1.0018179416656494,1.0290900468826294,0.9963629841804504,1.0290900468826294,41053793
2021-10-12,1.004544973373413,1.0327270030975342,0.9963629841804504,1.0,59950363
2021-10-13,0.9863629937171936,1.0136359930038452,0.9836360216140747,1.0081809759140015,40051022
2021-10-14,0.9727270007133484,0.9945449829101562,0.9709089994430542,0.9872720241546631,29675470
2021-10-15,0.9727270007133484,0.9836360216140747,0.9645450115203857,0.9745450019836426,27910113
2021-10-18,0.9672719836235046,0.9945449829101562,0.9545450210571289,0.9745450019836426,38444109
2021-10-19,0.9836360216140747,0.9881809949874878,0.9672719836235046,0.9718179702758789,45677357
2021-10-20,0.9900000095367432,1.0318180322647095,0.9818180203437805,0.9863629937171936,100963742
2021-10-21,0.9863629937171936,0.9900000095367432,0.9645450115203857,0.9900000095367432,30446031
2021-10-22,0.9954540133476257,1.004544973373413,0.9790899753570557,0.9881809949874878,33373131
2021-10-25,0.9900000095367432,1.0090899467468262,0.9863629937171936,0.9954540133476257,28406961
2021-10-26,0.9945449829101562,1.0036360025405884,0.9909089803695679,0.9909089803695679,32068542
2021-10-27,1.0209089517593384,1.0263630151748657,0.9963629841804504,0.9963629841804504,45363912
2021-10-28,1.0199999809265137,1.023635983467102,1.0099999904632568,1.0218180418014526,11005643
2021-11-01,1.0299999713897705,1.0363630056381226,1.0163630247116089,1.0199999809265137,32994709
2021-11-02,1.0281809568405151,1.04454505443573,1.0263630151748657,1.0327270030975342,32347524
2021-11-03,1.0281809568405151,1.0290900468826294,0.9772719740867615,1.0281809568405151,50654285
2021-11-04,1.0700000524520874,1.0909090042114258,1.0299999713897705,1.0318180322647095,81679147
2021-11-05,1.0690900087356567,1.1172720193862915,1.0609090328216553,1.0700000524520874,74986692
2021-11-08,1.0745450258255005,1.0972720384597778,1.0718179941177368,1.0727269649505615,43461341
2021-11-09,1.0454540252685547,1.085453987121582,1.0436359643936157,1.0754539966583252,35253174
2021-11-10,1.0654540061950684,1.0672719478607178,1.0336359739303589,1.047271966934204,25178241
2021-11-11,1.0454540252685547,1.070909023284912,1.0454540252685547,1.0609090328216553,24067703
2021-11-12,1.0436359643936157,1.057271957397461,1.0336359739303589,1.0454540252685547,26964806
2021-11-15,1.04454505443573,1.070909023284912,1.04454505443573,1.04454505443573,34884564
2021-11-16,1.0290900468826294,1.0545450448989868,1.0290900468826294,1.0536359548568726,25833456
2021-11-17,1.0227270126342773,1.0436359643936157,1.0190900564193726,1.0299999713897705,25645334
2021-11-18,1.0118180513381958,1.0272719860076904,1.0072720050811768,1.0218180418014526,43230803
2021-11-19,1.0181809663772583,1.0299999713897705,1.0127270221710205,1.0136359930038452,20384760
2021-11-22,1.070909023284912,1.0881810188293457,1.0227270126342773,1.0227270126342773,76091433
2021-11-23,1.0563629865646362,1.0909090042114258,1.0372719764709473,1.0727269649505615,84406784
