Price,Close,High,Low,Open,Volume
Ticker,AKSA.IS,AKSA.IS,AKSA.IS,AKSA.IS,AKSA.IS
Date,,,,,
2021-07-02,1.0197020769119263,1.0403624495623272,1.015703248976569,1.0303654273937226,11693184
2021-07-05,1.0290323495864868,1.0410288351512493,1.0197022264007443,1.0210346925433118,13229736
2021-07-06,1.0416957139968872,1.0470269127229612,1.027032772359597,1.029032234065724,11675496
2021-07-07,1.056357741355896,1.061689797854419,1.043695024815328,1.0503595472359166,10281336
2021-07-08,1.0956798791885376,1.1076763627336457,1.0770181105253562,1.0770181105253562,46490232
2021-07-09,1.0730193853378296,1.1050100111854788,1.0730193853378296,1.102344411716931,15163752
2021-07-12,1.0523589849472046,1.076351953735306,1.0450275616907716,1.0730193586102232,12380580
2021-07-13,1.0303653478622437,1.0543583136224275,1.027032657818164,1.0496932530735417,10749228
2021-07-14,1.0463608503341675,1.0623561637754535,1.0283660750429264,1.0310316745977086,14655744
2021-07-16,1.0430281162261963,1.0610228907677761,1.035030459838735,1.048360173169924,8709420
2021-07-19,1.0456945896148682,1.059023540431906,1.0390293038198686,1.0390293038198686,4568844
2021-07-26,1.0476939678192139,1.0610229187856979,1.0456946013393447,1.046360834373598,13170144
2021-07-27,1.0523589849472046,1.0610228742161725,1.0470269280866553,1.0483601568158545,8212560
2021-07-28,1.0743526220321655,1.0776852172648637,1.0543584807297683,1.0543584807297683,12403764
2021-07-29,1.082350254058838,1.088348543983605,1.0696875365361838,1.0796846546309342,13385016
2021-07-30,1.0856828689575195,1.093013529701407,1.074352617254251,1.0823502737396422,10337064
2021-08-02,1.0856828689575195,1.0976793536856067,1.0816840407148238,1.0890147014587113,11712648
2021-08-03,1.078351378440857,1.0956799191004056,1.0736863174634346,1.085015805745506,11697408
2021-08-04,1.0936803817749023,1.1010110415558199,1.075018709062495,1.075018709062495,17319432
2021-08-05,1.1116752624511719,1.1123414954533644,1.0876822938098245,1.0943467213025624,16538688
2021-08-06,1.106343150138855,1.1170065005432874,1.0970122656719825,1.1163402675745073,13007652
2021-08-09,1.1056771278381348,1.125004273700393,1.1056771278381348,1.109675956161581,11985672
2021-08-10,1.1150072813034058,1.127670763460663,1.0990119662009223,1.1056772528645475,13207344
2021-08-11,1.0863490104675293,1.119672862368192,1.0630222760012342,1.1156740344623604,11550228
2021-08-12,1.1076765060424805,1.1110083386461842,1.0823503070407627,1.0936805590926337,12235380
2021-08-13,1.1996495723724365,1.218310484127206,1.1456653454292602,1.1456653454292602,101753592
2021-08-16,1.1929843425750732,1.2156449415390045,1.1763227964193252,1.202315227916473,38335608
2021-08-17,1.258965015411377,1.2656302051868895,1.1929842129334625,1.1929842129334625,65520372
2021-08-18,1.262963891029358,1.28095856934982,1.246968483698443,1.2662964860431691,29281500
2021-08-19,1.2489680051803589,1.276293569489797,1.2429697152265595,1.2589651233234964,23133792
2021-08-20,1.32028067111969,1.3296115555133616,1.245636074799317,1.2489679069941226,46585776
2021-08-23,1.267629861831665,1.3449400687301196,1.267629861831665,1.3302779837219871,30693780
2021-08-24,1.2489680051803589,1.2842913212080576,1.2436367109591635,1.2696291418596535,26848656
2021-08-25,1.274294137954712,1.288290083572063,1.2476354754004209,1.2509673076869146,50441340
2021-08-26,1.2929551601409912,1.332943538761936,1.2596321627773865,1.2756274760899295,46996872
2021-08-27,1.312949299812317,1.312949299812317,1.2736279198614224,1.2996203497376753,16596480
2021-08-31,1.299620509147644,1.3296117707343544,1.2976210472167202,1.31628205630806,27654384
2021-09-01,1.2929551601409912,1.318947591943667,1.2849575034847198,1.3069511069592599,18152376
2021-09-02,1.274294137954712,1.2996203345452282,1.2709615429515817,1.2996203345452282,11096748
2021-09-03,1.2749605178833008,1.2969540266659887,1.2696292233200455,1.2762936513777838,13043088
2021-09-06,1.2529668807983398,1.2842913698224285,1.2516345100556325,1.278959312682723,11483004
2021-09-07,1.2283077239990234,1.2762936658957402,1.2243088955076302,1.2562995234387748,13809504
2021-09-08,1.2682958841323853,1.2816255971443673,1.228973836153385,1.228973836153385,35195244
2021-09-09,1.2816256284713745,1.3062848306626538,1.254966201795769,1.2696291438842304,25221948
2021-09-10,1.300952672958374,1.3096174197519768,1.2789591672551175,1.2862905900617423,22412556
2021-09-13,1.2696292400360107,1.3009528722402677,1.2636310449579746,1.3009528722402677,15620616
2021-09-14,1.2736279964447021,1.2842913478247644,1.2536338550836366,1.2709616342319614,13836444
2021-09-15,1.359602928161621,1.3862614969155607,1.273627978510303,1.273627978510303,75038520
2021-09-16,1.3502719402313232,1.3715993084454519,1.3122830274009865,1.3662672518778698,28194444
2021-09-17,1.3942592144012451,1.432914364835171,1.3662674156641696,1.3689330152394092,41020260
2021-09-20,1.3969247341156006,1.4235841605691135,1.329611651082886,1.3969247341156006,22980876
2021-09-21,1.359602928161621,1.4115876949683757,1.3529376424309372,1.4075888667524716,19313652
2021-09-22,1.3795971870422363,1.388927214971842,1.346273329712154,1.3596030442554548,12349032
2021-09-23,1.3795971870422363,1.4035901583863744,1.358269815384223,1.3835960155995928,11226732
2021-09-24,1.3569364547729492,1.3902603088677394,1.3462731990073689,1.3795970531021589,7973388
2021-09-27,1.3689329624176025,1.3862615041287758,1.350272049998372,1.3596029352361223,9383016
2021-09-28,1.3396086692810059,1.3795970461091391,1.334276707736699,1.370266161076394,10401588
2021-09-29,1.376930594444275,1.4049223916042746,1.3489387972842752,1.355604082931302,45697032
2021-09-30,1.3609352111816406,1.3929258348478113,1.3609352111816406,1.3795969803577135,11063076
2021-10-01,1.359602928161621,1.374265012267848,1.3409411577832244,1.3609352988627454,7284252
2021-10-04,1.3382755517959595,1.3715994061180132,1.3356098570108648,1.3596029215288252,9433416
2021-10-05,1.3196146488189697,1.3449400860388687,1.3122832248621878,1.3382756578687347,11318652
2021-10-06,1.3076179027557373,1.3516051029783507,1.3062846741648044,1.320280618842831,17406768
2021-10-07,1.3649340867996216,1.375598200431513,1.314948687906089,1.314948687906089,14712876
2021-10-08,1.3476064205169678,1.3622686007498797,1.3369424013374953,1.3622686007498797,9660204
